[I] 2016-06-02 18:08:37.488 (0x0000): RuchusMonitorService::loadConfiguration ok 
[I] 2016-06-02 18:08:37.495 (0x0001): wd 1 
[I] 2016-06-02 18:08:50.241 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:08:50.305 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:08:52.877 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:08:52.878 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:08:55.005 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:08:55.006 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:09:17.609 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:09:17.623 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:09:17.623 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:09:17.623 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:09:23.331 (0x0001): wd 4 
[I] 2016-06-02 18:09:23.331 (0x0000): RuchusMonitorService::uninitialize 
